DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
12/26/2025,BTC,87080.455752523,23987121206,19967134
12/26/2025,ETH,2902.14546308,12772598805,120694972
12/26/2025,NEAR,1.441959297,123579881,1283435896
12/26/2025,SOL,120.16704834,2612902164,562534557
12/26/2025,XRP,1.829921745,1559200692,60572944636
12/26/2025,ZEC,439.903688749,521328395,16461452
12/25/2025,AAVE,148.729720811,236985243,15193772
12/25/2025,ADA,0.3548582345,417464389,36655966075
12/25/2025,BNB,845.216138062,830629813,137734847
12/25/2025,BTC,87510.468552473,27876860778,19966687
12/25/2025,ETH,2938.469533415,14948311493,120694980
12/25/2025,NEAR,1.457136652,113397733,1283354555
12/25/2025,SOL,122.108355082,2564492587,562538280
12/25/2025,XRP,1.856925859,1839906737,60572944636
12/25/2025,ZEC,445.70925058,672233588,16459744
12/24/2025,AAVE,151.185212932,396038711,15193699
12/24/2025,ADA,0.3628693074,475363161,36655966075
12/24/2025,BNB,846.424100571,989584452,137734885
12/24/2025,BTC,87626.297216908,47978170932,19966153
12/24/2025,ETH,2972.537637986,21217085481,120694996
12/24/2025,NEAR,1.48188533,143674483,1283269545
12/24/2025,SOL,123.804740761,3405919327,562415230
12/24/2025,XRP,1.872455052,2164728299,60572944636
12/24/2025,ZEC,418.438702141,536265946,16456863
12/23/2025,AAVE,149.23108138,696407464,15192989
12/23/2025,ADA,0.3723425475,551384641,36655966075
